61.235.47.3	安徽省
61.172.249.96	北京市
211.155.234.99	河北省
211.167.248.22	上海市
60.12.227.208	江西省
221.8.9.6 80	海南省
121.9.221.188	河南省
58.23.234.26	福建省
202.100.64.2	甘肃省
202.96.128.166	广东省
123.151.14.54	天津市
61.128.192.68	重庆市
202.103.225.68	广西
202.98.192.67	贵州省
219.147.198.230	黑龙江省
202.103.24.68	湖北省
218.2.2.2	江苏省
219.148.162.31	内蒙古
219.146.0.130	山东省
218.30.19.40	陕西省
116.228.111.118	上海市
218.6.200.139	四川省
222.172.200.68	云南省
202.101.172.35	浙江省
202.98.0.68	吉林省
202.99.192.66	山西省
202.103.96.112	湖南省
202.96.69.38	辽宁省
61.128.114.166	新疆
221.13.65.34	西藏
223.220.158.58	青海省
140.113.215.224	台湾省
1.32.192.5	香港
27.109.255.26	澳门
