61.235.47.3	anhui
61.172.249.96	beijing
211.155.234.99	hebei
211.167.248.22	shanghai
60.12.227.208	jiangxi
221.8.9.6 80	hainan
121.9.221.188	henan
58.23.234.26	fujian
202.100.64.2	gansu
202.96.128.166	guangdong
123.151.14.54	tianjin
61.128.192.68	chongqing
202.103.225.68	guangxi
202.98.192.67	guizhou
219.147.198.230	heilongjiang
202.103.24.68	hubei
218.2.2.2	jiangsu
219.148.162.31	neimenggu
219.146.0.130	shandong
218.30.19.40	shaanxi
116.228.111.118	shanghai
218.6.200.139	sicuan
222.172.200.68	yunnan
202.101.172.35	zhejiang
202.98.0.68	jilin
202.99.192.66	shanxi
202.103.96.112	hunan
202.96.69.38	liaoning
61.128.114.166	xinjiang
221.13.65.34	xizang
223.220.158.58	qinghai
140.113.215.224	taiwan
1.32.192.5	xianggang
27.109.255.26	aomen
